itemid;filespec;titleEn;description/en;creator/en;locationCreated:placename;dateCreated:start;type;format;medium;customtext:Photographer;originalSource:url;originalSource:text
Hello1;GC9A5979.jpg;Eland-headed snake;""This sculpture depicts a snake (python) with the head of an antelope (eland). The sculpture weaves in and out of the wall. The sculpture is inspired by the painted rock art imagery of the southern African San. 

The rock surface acted as a veil between the real and spirit worlds and that the images entering or exiting natural features in the rock surface were actually entering or exiting the spirit world. Cracks and crevices of rock surfaces (as well as waterholes and termite mounds) linked the spirit world to the real world. Many rock paintings and engravings incorporate natural features of the rock surface, with some painted images appearing to enter or exit cracks, crevices or steps in the rock surface. 

The argument was supported by the testimony of Manqindi Dyantyi, an old woman living in the former Transkei territory, whose father was the last San painter. She described how the San used to touch the paintings during dances to harness the supernatural energy within them.

Supernatural potency is called n|om by the Kalahari Ju|’hoansi, and !gi by the |Xam of the Karoo and has been described as being like an electrical current. Certain animals associated with water, fertility, blood, fat, and transformation are particularly potent. These animals include the eland, termites, snakes, and bees. Inanimate objects like plants, and intangibles like dances and songs are also a source of potency."";Russell Scott;South Africa;2005;Sculpture;Sculpture;Wood and iron;Tammy Hodgskiss;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello2;_NJK4837.jpg;Threads of Knowing: Origins of People;"""Low res. This is the first of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen """;Tamar Mason;South Africa;2005;Embroidery;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello3;_NJK4833.jpg;Threads of Knowing: Hunting and Gathering;"""Low res. This is the second of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen """;Tamar Mason;South Africa;2005;Embroidery;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello4;_NJK4830.jpg;Threads of Knowing: The Trance Dance;"""Low res. This is the third of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen """;Tamar Mason;South Africa;2005;Embroidery;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello5;_NJK4841.jpg;Threads of Knowing: Arrivals;"""Low res. This is the fourth of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen """;Tamar Mason;South Africa;2005;Embroidery;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello6;_NJK4845.jpg;Threads of Knowing: Settled Life;"""Low res. This is the fifth of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen """;Tamar Mason;South Africa;2005;Embroidery;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello7;_NJK4851 1.jpg;Threads of Knowing: Sara Baartman;"""Low res. This is the sixth of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen""";Tamar Mason;South Africa;2005;Embroidery;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello8;_NJK4856.jpg;Threads of Knowing: Genocide;"""Low res. This is the seventh of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen 

This panel illustrates the frontier wars, and deliberate killing of the KhoiSan. The eleven panels illustrate the history of the San. The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen """;Tamar Mason;South Africa;2005;Embroidery;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello10;_NJK4829.jpg;Threads of Knowing: Modern Life;"""Low res. This is the ninth of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen """;Tamar Mason;South Africa;2005;Embroidery;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello11;_NJK4826.jpg;Threads of Knowing: Death and Disease;"""Low res. This is the tenth of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen """;Tamar Mason;South Africa;2005;Embroidery;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello12;_NJK4822.jpg;Threads of Knowing: The Future;"""Low res. This is the last of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen """;Tamar Mason;South Africa;2005;Embroidery;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello13;20200106_104426 - Copy.jpg;Eland-headed snake;"""This sculpture depicts a snake (python) with the head of an antelope (eland). The sculpture weaves in and out of the wall. The sculpture is incpired by the painted rock art imagery of the southern Africna San. 

The rock surface acted as a veil between the real and spirit worlds and that the images entering or exiting natural features in the rock surface were actually entering or exiting the spirit world. Cracks and crevices of rock surfaces (as well as waterholes and termite mounds) linked the spirit world to the real world. Many rock paintings and engravings incorporate natural features of the rock surface, with some painted images appearing to enter or exit cracks, crevices or steps in the rock surface. 

The argument was supported by the testimony of Manqindi Dyantyi, an old woman living in the former Transkei territory, whose father was the last San painter. She described how the San used to touch the paintings during dances to harness the supernatural energy within them.

Supernatural potency is called n|om by the Kalahari Ju|’hoansi, and !gi by the |Xam of the Karoo and has been described as being like an electrical current. Certain animals associated with water, fertility, blood, fat, and transformation are particularly potent. These animals include the eland, termites, snakes, and bees. Inanimate objects like plants, and intangibles like dances and songs are also a source of potency.

""";Russell Scott;South Africa;2005;Sculpture;Sculpture;Wood and iron;;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello14;20191021_154459.jpg;Eland-headed snake;"""This sculpture depicts a snake (python) with the head of an antelope (eland). The sculpture weaves in and out of the wall. The sculpture is incpired by the painted rock art imagery of the southern Africna San. 

The rock surface acted as a veil between the real and spirit worlds and that the images entering or exiting natural features in the rock surface were actually entering or exiting the spirit world. Cracks and crevices of rock surfaces (as well as waterholes and termite mounds) linked the spirit world to the real world. Many rock paintings and engravings incorporate natural features of the rock surface, with some painted images appearing to enter or exit cracks, crevices or steps in the rock surface. 

The argument was supported by the testimony of Manqindi Dyantyi, an old woman living in the former Transkei territory, whose father was the last San painter. She described how the San used to touch the paintings during dances to harness the supernatural energy within them.

Supernatural potency is called n|om by the Kalahari Ju|’hoansi, and !gi by the |Xam of the Karoo and has been described as being like an electrical current. Certain animals associated with water, fertility, blood, fat, and transformation are particularly potent. These animals include the eland, termites, snakes, and bees. Inanimate objects like plants, and intangibles like dances and songs are also a source of potency.

""";Russell Scott;South Africa;2005;Sculpture;Sculpture;Wood and iron;Tammy Hodgskiss;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello15;IMG_20190610_144415_033.jpg;Axis Mundi;"""This conceptual piece speaks to the tiered cosmos in San religious thought. Termites emerge from the mound and ascend into the heavens along the axis mundi in the form of a tree. As they ascend, they transform into therianthropic (part human, part animal) creatures. These wooden creatures are derived from San rock paintings and they are sculpted in a flattened relief, remaining faithful to the original two-dimensional artworks. 

Landscapes were meaningful and complex places for the San living in the past, as they are for those San still living today. Small, inconspicuous and even invisible features of landscape, such as shallow water pans, low rocky outcrops and termite mounds were also seen as important. These places allowed access to the spirit world. The supernatural world is described, paradoxically, as being both below ground and in the sky above. Only certain San ritual specialists, known as owners-of-energy, can enter this alternative world. Once there, they encounter strange animals, the spirits of dead friends and relatives, and, on occasion, god. In turn, certain inhabitants of the spirit realm can visit this world by emerging from the same points of entry used by ritual specialists. It is particularly during the trance dance that movement between the two worlds is facilitated.

Many of the experiences reported by San in trance may seem strange and peculiar. For example, some report that they change into animal-form during the dance. This experience of transformation is often depicted in rock art. Images of therianthropes – part human, part animal – are abundant in rock art sites throughout southern Africa. While seemingly peculiar, this type of experience is reported by people throughout the world when in a state of trance. 

Russell Scott is a South African artist who is well-known for his large-scale installations made of natural materials – usually stone and wood. """;Russell Scott;South Africa;2005;Sculpture;Sculpture;Wood and iron;Tammy Hodgskiss;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello16;20190725_123825.jpg;Threads of Knowing;"""The eleven panels illustrate the history of the San. The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen """;Tamar Mason;South Africa;2005;Embroidery;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Tammy Hodgskiss;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello17;20191024_184055.jpg;Threads of Knowing;"""The eleven panels illustrate the history of the San. The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen """;Tamar Mason;South Africa;2005;Embroidery;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Tammy Hodgskiss;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello18;20190611_141149.jpg;Axis Mundi;"""This conceptual piece speaks to the tiered cosmos in San religious thought. Termites emerge from the mound and ascend into the heavens along the axis mundi in the form of a tree. As they ascend, they transform into therianthropic (part human, part animal) creatures. These wooden creatures are derived from San rock paintings and they are sculpted in a flattened relief, remaining faithful to the original two-dimensional artworks. 

Landscapes were meaningful and complex places for the San living in the past, as they are for those San still living today. Small, inconspicuous and even invisible features of landscape, such as shallow water pans, low rocky outcrops and termite mounds were also seen as important. These places allowed access to the spirit world. The supernatural world is described, paradoxically, as being both below ground and in the sky above. Only certain San ritual specialists, known as owners-of-energy, can enter this alternative world. Once there, they encounter strange animals, the spirits of dead friends and relatives, and, on occasion, god. In turn, certain inhabitants of the spirit realm can visit this world by emerging from the same points of entry used by ritual specialists. It is particularly during the trance dance that movement between the two worlds is facilitated.

Many of the experiences reported by San in trance may seem strange and peculiar. For example, some report that they change into animal-form during the dance. This experience of transformation is often depicted in rock art. Images of therianthropes – part human, part animal – are abundant in rock art sites throughout southern Africa. While seemingly peculiar, this type of experience is reported by people throughout the world when in a state of trance. 

Russell Scott is a South African artist who is well-known for his large-scale installations made of natural materials – usually stone and wood. """;Russell Scott;South Africa;2005;Sculpture;Sculpture;Wood and iron;Tammy Hodgskiss;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello19;GC9A5984.jpg;Axis Mundi;"""This conceptual piece speaks to the tiered cosmos in San religious thought. Termites emerge from the mound and ascend into the heavens along the axis mundi in the form of a tree. As they ascend, they transform into therianthropic (part human, part animal) creatures. These wooden creatures are derived from San rock paintings and they are sculpted in a flattened relief, remaining faithful to the original two-dimensional artworks. 

Landscapes were meaningful and complex places for the San living in the past, as they are for those San still living today. Small, inconspicuous and even invisible features of landscape, such as shallow water pans, low rocky outcrops and termite mounds were also seen as important. These places allowed access to the spirit world. The supernatural world is described, paradoxically, as being both below ground and in the sky above. Only certain San ritual specialists, known as owners-of-energy, can enter this alternative world. Once there, they encounter strange animals, the spirits of dead friends and relatives, and, on occasion, god. In turn, certain inhabitants of the spirit realm can visit this world by emerging from the same points of entry used by ritual specialists. It is particularly during the trance dance that movement between the two worlds is facilitated.

Many of the experiences reported by San in trance may seem strange and peculiar. For example, some report that they change into animal-form during the dance. This experience of transformation is often depicted in rock art. Images of therianthropes – part human, part animal – are abundant in rock art sites throughout southern Africa. While seemingly peculiar, this type of experience is reported by people throughout the world when in a state of trance. 

Russell Scott is a South African artist who is well-known for his large-scale installations made of natural materials – usually stone and wood. """;Russell Scott;South Africa;2005;Sculpture;Sculpture;Wood and iron;Tammy Hodgskiss;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
