itemid;filetype;filespec;title/en;description/en;creator/en;locationCreated:placename;dateCreated:display;customtext:Time period ;type;medium;customtext:Photographer;rights
Hello1;image;GC9A5979.jpg;Eland-headed snake;"This sculpture depicts a snake (python) with the head of an antelope (eland). The sculpture weaves in and out of the wall. The sculpture is incpired by the painted rock art imagery of the southern Africna San. 

The rock surface acted as a veil between the real and spirit worlds and that the images entering or exiting natural features in the rock surface were actually entering or exiting the spirit world. Cracks and crevices of rock surfaces (as well as waterholes and termite mounds) linked the spirit world to the real world. Many rock paintings and engravings incorporate natural features of the rock surface, with some painted images appearing to enter or exit cracks, crevices or steps in the rock surface. 

The argument was supported by the testimony of Manqindi Dyantyi, an old woman living in the former Transkei territory, whose father was the last San painter. She described how the San used to touch the paintings during dances to harness the supernatural energy within them.

Supernatural potency is called n|om by the Kalahari Ju|’hoansi, and !gi by the |Xam of the Karoo and has been described as being like an electrical current. Certain animals associated with water, fertility, blood, fat, and transformation are particularly potent. These animals include the eland, termites, snakes, and bees. Inanimate objects like plants, and intangibles like dances and songs are also a source of potency.

";Russell Scott;South Africa;2006;1900s;Sculpture;Wood and iron;Tammy Hodgskiss;Origins Centre
Hello2;image;_NJK4837.jpg;Threads of Knowing: Origins of People;"Low res. This is the first of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen ";Tamar Mason;South Africa;2006;50000 years ago;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;Origins Centre
Hello3;image;_NJK4833.jpg;Threads of Knowing: Hunting and Gathering;"Low res. This is the second of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen ";Tamar Mason;South Africa;2006;;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;Origins Centre
Hello4;image;_NJK4830.jpg;Threads of Knowing: The Trance Dance;"Low res. This is the third of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen ";Tamar Mason;South Africa;2006;;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;Origins Centre
Hello5;image;_NJK4841.jpg;Threads of Knowing: Arrivals;"Low res. This is the fourth of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen ";Tamar Mason;South Africa;2006;;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;Origins Centre
Hello6;image;_NJK4845.jpg;Threads of Knowing: Settled Life;"Low res. This is the fifth of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen ";Tamar Mason;South Africa;2006;;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;Origins Centre
Hello7;image;_NJK4851 1.jpg;Threads of Knowing: Sara Baartman;"Low res. This is the sixth of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen";Tamar Mason;South Africa;2006;;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;Origins Centre
Hello8;image;_NJK4856.jpg;Threads of Knowing: Genocide;"Low res. This is the seventh of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen 

This panel illustrates the frontier wars, and deliberate killing of the KhoiSan. The eleven panels illustrate the history of the San. The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen ";Tamar Mason;South Africa;2006;;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;Origins Centre
Hello10;image;_NJK4829.jpg;Threads of Knowing: Modern Life;"Low res. This is the ninth of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen ";Tamar Mason;South Africa;2006;;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;Origins Centre
Hello11;image;_NJK4826.jpg;Threads of Knowing: Death and Disease;"Low res. This is the tenth of eleven embroidered panels illustrating the history of the San in southern Africa. 
The panels were designed by Tamar Mason and produced by herself and a collective of craftswomen ";Tamar Mason;South Africa;2006;;Embroidery;Fabric, cotton thread, ostrish eggshell beads, glass beads, paint, safety pins;Neil Kirby;Origins Centre
